Nev,URL
more..,https://www.sequencer.de/syns/korg/MS20.html
more..,https://www.sequencer.de/syns/korg/MS10.html
more..,https://www.sequencer.de/syns/korg/MS50.html
more..,https://www.sequencer.de/syns/korg/Micropreset_M500.html
more..,https://www.sequencer.de/syns/korg/MonoPoly.html
more..,https://www.sequencer.de/syns/korg/SyntheBass100.html
more..,https://www.sequencer.de/syns/korg/900ps.html
more..,https://www.sequencer.de/syns/korg/Monotron.html
more..,https://www.sequencer.de/syns/korg/MS20Mini.html
more..,https://www.sequencer.de/syns/korg/MS20M.html
more..,https://www.sequencer.de/syns/lassence/venturyII_ventury2.html
more..,https://www.sequencer.de/syns/lord/Skywave.html
more..,https://www.sequencer.de/syns/luberetski/Alisa1387.html
more..,https://www.sequencer.de/syns/macbeth/M3X.html
more..,https://www.sequencer.de/syns/macbeth/M5_M5N.html
more..,https://www.sequencer.de/syns/macbeth/XFactor.html
more..,https://www.sequencer.de/syns/macbeth/Micromac.html
more..,https://www.sequencer.de/syns/macbeth/Elements.html
more..,https://www.sequencer.de/syns/metasonix/S1000_WretchMachine.html
more..,https://www.sequencer.de/syns/mfb/Synth2_SynthII.html
more..,https://www.sequencer.de/syns/mfb/SynthLite2_SynthLiteII.html
more..,https://www.sequencer.de/syns/mfb/Synth1_SynthI.html
more..,https://www.sequencer.de/syns/mfb/SynthLite_SynthLiteI.html
more..,https://www.sequencer.de/syns/mfb/Kraftzwerg_Synth3.html
more..,https://www.sequencer.de/syns/mfb/Nanozwerg.html
more..,https://www.sequencer.de/syns/mfb/Megazwerg.html
more..,https://www.sequencer.de/syns/mfb/DominionX.html
more..,https://www.sequencer.de/syns/mfb/Dominion1.html
more..,https://www.sequencer.de/syns/modemachines/SynthLab_SL1.html
more..,https://www.sequencer.de/syns/moog/Minimoog.html
more..,https://www.sequencer.de/syns/moog/MinimoogVoyager_RME.html
more..,https://www.sequencer.de/syns/moog/Prodigy.html
more..,https://www.sequencer.de/syns/moog/Source.html
more..,https://www.sequencer.de/syns/moog/Rogue.html
