Kategoria,Hangszer_Nev,Oldalcim,URL
Digital,Elevata,Red Sound Elevata Digital Synthesizer,https://www.sequencer.de/syns/redsound/Elevata.html
Digital,D50 D550,"Roland D50, D550 Digital Synthesizer",https://www.sequencer.de/syns/roland/D50_D550.html
Digital,W30,Roland W30 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/roland/W30.html
Sampler,S50 S550,"Roland S50, S550 Sampler",https://www.sequencer.de/syns/roland/S50_S550.html
Sampler,S330,Roland S330 Sampler,https://www.sequencer.de/syns/roland/S330.html
Digital,Wave,Waldorf Wave Hybrid Synthesizer,https://www.sequencer.de/syns/waldorf/Wave.html
Digital,Dx7,Yamaha DX7 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/DX7.html
Digital,Dx7Ii Dx7Iifd,"Yamaha DX7II, DX7IIFD Digital Synthesizer",https://www.sequencer.de/syns/yamaha/DX7II_DX7IIFD.html
Digital,Tx802,Yamaha TX802 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/TX802.html
Digital,Tx7,Yamaha TX7 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/TX7.html
Digital,Dx9,Yamaha DX9 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/DX9.html
Digital,V50,Yamaha V50 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/yamaha/V50.html
Digital,Sy22,Yamaha SY22 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/SY22.html
Sampler,Tx16W,Yamaha TX16W Sampler,https://www.sequencer.de/syns/yamaha/TX16W.html
Digital,Rx5 Rx7,"Yamaha RX5, RX7 Digital Synthesizer real time sequencer",https://www.sequencer.de/syns/yamaha/RX5_RX7.html
Digital,Rx11 Rx15 Rx21,"Yamaha RX11, RX15, RX21 Digital Synthesizer real time sequencer",https://www.sequencer.de/syns/yamaha/RX11_RX15_RX21.html
Digital,Rx17 Rx120 Rx8,"Yamaha RX17, RX120, RX8 Digital Synthesizer real time sequencer",https://www.sequencer.de/syns/yamaha/RX17_RX120_RX8.html
Digital,Vp1,Yamaha VP1 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/VP1.html
Digital,Dx7S,Yamaha DX7s Digital Synthesizer,https://www.sequencer.de/syns/yamaha/DX7s.html
Digital,Tg55,Yamaha TG55 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/TG55.html
Digital,Sy55,Yamaha SY55 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/SY55.html
Digital,Nordwave,Clavia Nord Wave Digital Synthesizer,https://www.sequencer.de/syns/clavia/NordWave.html
Digital,Ultranova,Novation Ultra Nova Digital Synthesizer,https://www.sequencer.de/syns/novation/UltraNova.html
Digital,Mininova,Novation Mininova Digital Synthesizer,https://www.sequencer.de/syns/novation/Mininova.html
Digital,Nordlead2X,Clavia Nord Lead 2x Digital Synthesizer,https://www.sequencer.de/syns/clavia/NordLead2x.html
Digital,Nordlead2Xanniversaryedition,Clavia Nord Lead 2x Anniversary Edition Digital Synthesizer,https://www.sequencer.de/syns/clavia/NordLead2xAnniversaryEdition.html
Digital,Nordrack2X,Clavia Nord Rack 2x Digital Synthesizer,https://www.sequencer.de/syns/clavia/NordRack2x.html
Digital,Nordlead4 Nordrack4 Nordlead4R,"Clavia Nord Lead 4, Nord Rack 4, Nord Lead 4R Digital Synthesizer",https://www.sequencer.de/syns/clavia/NordLead4_NordRack4_NordLead4R.html
Sampler,Eps,Ensoniq EPS Sampler advanced sequencer,https://www.sequencer.de/syns/ensoniq/EPS.html
Digital,Va1,Kurzweil VA1 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/kurzweil/VA1.html
Digital,Sd1 Sd2,"Ensoniq SD1, SD2 Digital Synthesizer advanced sequencer",https://www.sequencer.de/syns/ensoniq/SD1_SD2.html
Digital,Vfx Vfxsd Vfxsd2,"Ensoniq VFX, VFXsd , VFXsd 2 Digital Synthesizer advanced sequencer",https://www.sequencer.de/syns/ensoniq/VFX_VFXsd_VFXsd2.html
Digital,Superraven Ravenmax Cyber6,"Quasimidi Super Raven , Raven Max , Cyber 6 Digital Synthesizer TR sequencer",https://www.sequencer.de/syns/quasimidi/SuperRaven_RavenMax_Cyber6.html
Digital,Virusb Indigo Virusclassic,"Access Virus B, Indigo , Virus Classic Digital Synthesizer",https://www.sequencer.de/syns/access/VirusB_Indigo_VirusClassic.html
Digital,Viruskb,Access Virus KB Digital Synthesizer,https://www.sequencer.de/syns/access/VirusKB.html
